"Gene","log2FC","p_value"
"Gene1",-0.850721600087358,0.63716900581494
"Gene2",0.203228012067646,0.0812811865471303
"Gene3",-0.933510964362698,0.425315367756411
"Gene4",-0.334996222305344,0.322326366091147
"Gene5",0.0841085851526074,0.128567761741579
"Gene6",1.17566445001411,0.0277887783013284
"Gene7",-0.916562819687148,0.509292075177655
"Gene8",-0.758385258612954,0.353154751472175
"Gene9",0.685985169518585,0.645739463157952
"Gene10",0.636607988884933,0.187546447617933
"Gene11",0.623309057479511,0.980482159648091
"Gene12",-0.451858697544819,0.772916613379493
"Gene13",1.37104624905246,0.989565185969695
"Gene14",-0.484213600569039,0.153941138880327
"Gene15",-0.631301328404134,0.0108179114758968
"Gene16",1.12468608073155,0.101513902656734
"Gene17",-1.3942539809801,0.946923826588318
"Gene18",0.879957137519814,0.724767497042194
"Gene19",-1.51014228836157,0.385350353084505
"Gene20",1.66573316091165,0.374976795632392
"Gene21",2.13045445337704,0.62866793316789
"Gene22",-0.673049972150566,0.772123757284135
"Gene23",0.653238158003965,0.0678249592892826
"Gene24",0.20078744817841,0.746331403497607
"Gene25",0.420150806426232,0.849203682970256
"Gene26",-0.455647784771095,0.394367651315406
"Gene27",1.36636823827244,0.737341810483485
"Gene28",0.122815521226593,0.975214377744123
"Gene29",0.535513729051551,0.720638113329187
"Gene30",1.27128351027403,0.983284323709086
"Gene31",-0.704745815343908,0.566414773464203
"Gene32",-0.0999223151950626,0.406121006468311
"Gene33",1.77363451001907,0.677880067843944
"Gene34",-0.104381249139785,0.879517240915447
"Gene35",-0.590550863846783,0.436140694655478
"Gene36",-0.382009454475267,0.129327657399699
"Gene37",1.31348350417192,0.815089862560853
"Gene38",1.2144151836081,0.706631114473566
"Gene39",0.942505802324071,0.307342466898263
"Gene40",0.375124952692917,0.911949854111299
"Gene41",0.998035802069365,0.0667842663824558
"Gene42",0.584216541874493,0.347541075898334
"Gene43",-0.200040683615953,0.39270311105065
"Gene44",-0.241876240151635,0.680012224009261
"Gene45",-0.362818018012046,0.587059224722907
"Gene46",-0.144374870373786,0.853555803652853
"Gene47",1.27207669026792,0.322955359704792
"Gene48",-0.208218139702877,0.0871510379947722
"Gene49",0.925920692755351,0.326665666187182
"Gene50",-0.735684155121346,0.345850633224472
"Gene51",0.866702409096996,0.00339926779270172
"Gene52",-0.276899096400421,0.499554085545242
"Gene53",1.26397176759125,0.497342618415132
"Gene54",1.05563050093131,0.376457753125578
"Gene55",-0.585625359848885,0.514165499946102
"Gene56",-0.729468934930754,0.0659069854300469
"Gene57",-0.183415589958383,0.627772263018414
"Gene58",-0.612191931443952,0.504494804190472
"Gene59",0.840373709866964,0.250120771816
"Gene60",0.0540491046052588,0.930030743358657
"Gene61",-1.60441022603148,0.31949145719409
"Gene62",-1.61855219359319,0.352602640865371
"Gene63",0.118651100435478,0.591715505346656
"Gene64",-0.379458615583181,0.153676997171715
"Gene65",-0.306800373004696,0.400544391479343
"Gene66",0.330423198790889,0.114062946056947
"Gene67",0.757399935412117,0.32478541159071
"Gene68",-0.786048046795888,0.573626523138955
"Gene69",-0.914783140769933,0.138066995888948
"Gene70",-0.580544008496251,0.916864895727485
"Gene71",0.611639584414661,0.739907913841307
"Gene72",-1.06991908390268,0.0461035135667771
"Gene73",-0.150448071177102,0.275768317049369
"Gene74",0.313166003211694,0.455695908050984
"Gene75",-1.36050433859575,0.283679666696116
"Gene76",0.0528543228197983,0.0824130438268185
"Gene77",-0.655552958494302,0.724126558285207
"Gene78",1.15866376551082,0.252600170439109
"Gene79",0.122585889295993,0.246320901671425
"Gene80",-0.0237279450956774,0.101067611481994
"Gene81",-0.272695479415214,0.218982124701142
"Gene82",-0.176639525755782,0.202504161512479
"Gene83",0.0710010094692666,0.690686129732057
"Gene84",1.31936478535636,0.154069698648527
"Gene85",-1.0063610671721,0.47978406609036
"Gene86",1.12855755445308,0.891733701806515
"Gene87",0.969775113791766,0.441352974390611
"Gene88",0.0862472780739472,0.866337903309613
"Gene89",0.356154286214735,0.84493588260375
"Gene90",0.167158154719216,0.696776289492846
"Gene91",-0.906200648074509,0.822702701436356
"Gene92",-0.48900228567181,0.116455404087901
"Gene93",-0.0730918209070767,0.160950544988737
"Gene94",0.553364740417943,0.864202284021303
"Gene95",0.535751147836602,0.259008571039885
"Gene96",0.325970099717013,0.184066227870062
"Gene97",0.79617308996071,0.265170903177932
"Gene98",1.50226829967968,0.37368171592243
"Gene99",-0.860720463722906,0.634113600710407
"Gene100",-0.900020282681964,0.548568397760391
"Gene101",-0.564979340796087,0.475495647173375
"Gene102",-1.03797956085783,0.00608654413372278
"Gene103",-1.15267362546668,0.229000887367874
"Gene104",0.0946332406395435,0.294179735705256
"Gene105",0.781484374601879,0.658127831993625
"Gene106",-1.05207629579163,0.644648940069601
"Gene107",0.0715802795979275,0.223698121961206
"Gene108",-0.975318245442533,0.786593677708879
"Gene109",0.802085595581073,0.769757998175919
"Gene110",-0.167642616051705,0.437756068538874
"Gene111",-0.278564097700775,0.0988040324300528
"Gene112",-0.97953343602768,0.00998293957673013
"Gene113",-0.551939007362736,0.756991986650974
"Gene114",0.399909180839995,0.110304288333282
"Gene115",-0.313888288546849,0.879763748729602
"Gene116",1.04268587672024,0.151823217049241
"Gene117",0.615688411522609,0.378088695462793
"Gene118",-0.96225143935853,0.949627969413996
"Gene119",-0.720112451164705,0.973978938069195
"Gene120",1.51739203803102,0.597522313473746
"Gene121",-0.201030996986105,0.18770929868333
"Gene122",-0.146064597738276,0.236782060936093
"Gene123",0.33255674362215,0.109905830817297
"Gene124",0.430256060518027,0.99707665713504
"Gene125",-0.11085643763613,0.182547006988898
"Gene126",-0.554351568723362,0.922646763036028
"Gene127",-1.80106509554458,0.631416036048904
"Gene128",-1.09487174179357,0.0329773677513003
"Gene129",1.25821432394334,0.699051915900782
"Gene130",-1.01446018483343,0.0987739777192473
"Gene131",1.58076241174317,0.906727214809507
"Gene132",0.678627166359512,0.058349325787276
"Gene133",-0.544544241914461,0.342828813707456
"Gene134",0.600163318284634,0.85117145627737
"Gene135",2.05637001080874,0.907693719258532
"Gene136",0.387531591303365,0.0221151420846581
"Gene137",-0.496094973787559,0.401065948186442
"Gene138",0.481879716604406,0.117602603742853
"Gene139",0.210935559330221,0.363198913866654
"Gene140",0.211279254493424,0.668364995857701
"Gene141",0.375385930261384,0.456648479681462
"Gene142",-0.188619968182772,0.0632455560844392
"Gene143",-0.583296007498679,0.0682195143308491
"Gene144",1.26431029506459,0.373406077967957
"Gene145",0.865059869501093,0.529625779483467
"Gene146",-0.0335274930187622,0.701448984676972
"Gene147",0.0978418831608642,0.332353946985677
"Gene148",-0.444275214713313,0.520920124137774
"Gene149",0.324224319910695,0.416347319958732
"Gene150",-0.341841174764612,0.209726429311559
"Gene151",0.909886751144807,0.506662388797849
"Gene152",-0.560641994644748,0.738791802898049
"Gene153",-0.839010068086599,0.99160680314526
"Gene154",-0.0855749104164985,0.800639844732359
"Gene155",0.305265852623158,0.571570565458387
"Gene156",-1.95753051953802,0.134055160684511
"Gene157",-1.7868914887384,0.969383462099358
"Gene158",0.417890759461078,0.200508098350838
"Gene159",0.0569636926705481,0.695601885206997
"Gene160",0.264081981169611,0.310180305503309
"Gene161",-2.45096857561513,0.666871772613376
"Gene162",1.2148580711287,0.988121627829969
"Gene163",-0.970315896219031,0.272061041090637
"Gene164",1.02639782769634,0.0712565176654607
"Gene165",0.865207764559018,0.746193408733234
"Gene166",1.7880851273379,0.328677943674847
"Gene167",-0.699906332397296,0.0772371494676918
"Gene168",0.725486445100463,0.340840456774458
"Gene169",-0.736330410345406,0.00165168661624193
"Gene170",-0.891377616321788,0.0503963991068304
"Gene171",0.10476750925786,0.264989759540185
"Gene172",-1.48172137965375,0.628834855975583
"Gene173",0.875473832423198,0.162040610332042
"Gene174",-0.597709073197813,0.814862211700529
"Gene175",0.302782249877048,0.0854608209338039
"Gene176",0.113437978825481,0.557975001400337
"Gene177",2.07715825818211,0.920005969703197
"Gene178",0.216249675318787,0.109166133916005
"Gene179",0.0651612840935746,0.676084742881358
